date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:14:09	32277/32277	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Oct%202022%2009:28:04%20GMT	https://doccure.dreamguystech.com/html/template/index-four.html	doccure.dreamguystech.com/html/template/index-four.html	(from )
09:14:11	173/173	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/html	date:Fri,%2003%20Feb%202023%2008:14:11%20GMT	https://doccure.dreamguystech.com/robots.txt		(from )
09:14:11	489/489	---M--	200	added ('OK')	image/png	etag:%221e9-5cc6aeec46000%22	https://doccure.dreamguystech.com/html/template/assets/img/favicon.png	doccure.dreamguystech.com/html/template/assets/img/favicon.png	(from https://doccure.dreamguystech.com/html/template/index-four.html)
09:14:14	163879/163879	---M-Z	200	added ('OK')	text/css	etag:%2228027-5d05d442eb180-gzip%22	https://doccure.dreamguystech.com/html/template/assets/css/bootstrap.min.css	doccure.dreamguystech.com/html/template/assets/css/bootstrap.min.css	(from https://doccure.dreamguystech.com/html/template/index-four.html)
09:14:16	55419/55419	---M-Z	200	added ('OK')	text/css	etag:%22d87b-5cc6aeec46000-gzip%22	https://doccure.dreamguystech.com/html/template/assets/plugins/fontawesome/css/fontawesome.min.css	doccure.dreamguystech.com/html/template/assets/plugins/fontawesome/css/fontawesome.min.css	(from https://doccure.dreamguystech.com/html/template/index-four.html)
09:14:17	56846/56846	---M-Z	200	added ('OK')	text/css	etag:%22de0e-5cc6aeec46000-gzip%22	https://doccure.dreamguystech.com/html/template/assets/plugins/fontawesome/css/all.min.css	doccure.dreamguystech.com/html/template/assets/plugins/fontawesome/css/all.min.css	(from https://doccure.dreamguystech.com/html/template/index-four.html)
09:14:17	26053/26053	---M-Z	200	added ('OK')	text/css	etag:%2265c5-5d605c0d63e80-gzip%22	https://doccure.dreamguystech.com/html/template/assets/css/aos.css	doccure.dreamguystech.com/html/template/assets/css/aos.css	(from https://doccure.dreamguystech.com/html/template/index-four.html)
09:14:19	611162/611162	---MCZ	200	added ('OK')	text/css	etag:%229535a-5eb7a19dcee00-gzip%22	https://doccure.dreamguystech.com/html/template/assets/css/style.css	doccure.dreamguystech.com/html/template/assets/css/style.css	(from https://doccure.dreamguystech.com/html/template/index-four.html)
09:14:20	29703/29703	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Oct%202022%2009:28:04%20GMT	https://doccure.dreamguystech.com/html/template/index.html	doccure.dreamguystech.com/html/template/index.html	(from https://doccure.dreamguystech.com/html/template/index-four.html)
09:14:20	3636/3636	---M--	200	added ('OK')	image/png	etag:%22e34-5d600b7f23080%22	https://doccure.dreamguystech.com/html/template/assets/img/logo.png	doccure.dreamguystech.com/html/template/assets/img/logo.png	(from https://doccure.dreamguystech.com/html/template/index-four.html)
09:14:22	29677/29677	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Oct%202022%2009:28:04%20GMT	https://doccure.dreamguystech.com/html/template/index-two.html	doccure.dreamguystech.com/html/template/index-two.html	(from https://doccure.dreamguystech.com/html/template/index-four.html)
09:14:23	30310/30310	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Oct%202022%2009:28:04%20GMT	https://doccure.dreamguystech.com/html/template/index-three.html	doccure.dreamguystech.com/html/template/index-three.html	(from https://doccure.dreamguystech.com/html/template/index-four.html)
09:14:24	35379/35379	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Oct%202022%2009:28:04%20GMT	https://doccure.dreamguystech.com/html/template/index-five.html	doccure.dreamguystech.com/html/template/index-five.html	(from https://doccure.dreamguystech.com/html/template/index-four.html)
09:14:25	30141/30141	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Oct%202022%2009:28:04%20GMT	https://doccure.dreamguystech.com/html/template/index-six.html	doccure.dreamguystech.com/html/template/index-six.html	(from https://doccure.dreamguystech.com/html/template/index-four.html)
09:14:26	28778/28778	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Oct%202022%2009:28:04%20GMT	https://doccure.dreamguystech.com/html/template/index-seven.html	doccure.dreamguystech.com/html/template/index-seven.html	(from https://doccure.dreamguystech.com/html/template/index-four.html)
09:14:27	34446/34446	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Oct%202022%2009:28:04%20GMT	https://doccure.dreamguystech.com/html/template/index-eight.html	doccure.dreamguystech.com/html/template/index-eight.html	(from https://doccure.dreamguystech.com/html/template/index-four.html)
09:14:28	26391/26391	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Oct%202022%2009:28:04%20GMT	https://doccure.dreamguystech.com/html/template/index-nine.html	doccure.dreamguystech.com/html/template/index-nine.html	(from https://doccure.dreamguystech.com/html/template/index-four.html)
09:14:29	28214/28214	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Oct%202022%2009:28:04%20GMT	https://doccure.dreamguystech.com/html/template/index-ten.html	doccure.dreamguystech.com/html/template/index-ten.html	(from https://doccure.dreamguystech.com/html/template/index-four.html)
09:14:30	34557/34557	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Oct%202022%2009:28:04%20GMT	https://doccure.dreamguystech.com/html/template/index-leven.html	doccure.dreamguystech.com/html/template/index-leven.html	(from https://doccure.dreamguystech.com/html/template/index-four.html)
09:14:31	30040/30040	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Oct%202022%2009:28:04%20GMT	https://doccure.dreamguystech.com/html/template/index-twelve.html	doccure.dreamguystech.com/html/template/index-twelve.html	(from https://doccure.dreamguystech.com/html/template/index-four.html)
09:14:32	30035/30035	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Oct%202022%2009:28:04%20GMT	https://doccure.dreamguystech.com/html/template/index-thirteen.html	doccure.dreamguystech.com/html/template/index-thirteen.html	(from https://doccure.dreamguystech.com/html/template/index-four.html)
09:14:33	30773/30773	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Oct%202022%2009:28:04%20GMT	https://doccure.dreamguystech.com/html/template/index-fourteen.html	doccure.dreamguystech.com/html/template/index-fourteen.html	(from https://doccure.dreamguystech.com/html/template/index-four.html)
09:14:34	30496/30496	---MCZ	200	added ('OK')	text/html	date:Thu,%2020%20Oct%202022%2016:48:56%20GMT	https://doccure.dreamguystech.com/html/template/index-fifteen.html	doccure.dreamguystech.com/html/template/index-fifteen.html	(from https://doccure.dreamguystech.com/html/template/index-four.html)
09:14:35	26367/26367	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Oct%202022%2009:28:04%20GMT	https://doccure.dreamguystech.com/html/template/doctor-dashboard.html	doccure.dreamguystech.com/html/template/doctor-dashboard.html	(from https://doccure.dreamguystech.com/html/template/index-four.html)
09:14:36	27477/27477	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Oct%202022%2009:28:04%20GMT	https://doccure.dreamguystech.com/html/template/appointments.html	doccure.dreamguystech.com/html/template/appointments.html	(from https://doccure.dreamguystech.com/html/template/index-four.html)
09:14:37	21679/21679	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Oct%202022%2009:28:04%20GMT	https://doccure.dreamguystech.com/html/template/schedule-timings.html	doccure.dreamguystech.com/html/template/schedule-timings.html	(from https://doccure.dreamguystech.com/html/template/index-four.html)
09:14:38	21539/21539	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Oct%202022%2009:28:04%20GMT	https://doccure.dreamguystech.com/html/template/my-patients.html	doccure.dreamguystech.com/html/template/my-patients.html	(from https://doccure.dreamguystech.com/html/template/index-four.html)
09:14:39	43077/43077	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Oct%202022%2009:28:04%20GMT	https://doccure.dreamguystech.com/html/template/patient-profile.html	doccure.dreamguystech.com/html/template/patient-profile.html	(from https://doccure.dreamguystech.com/html/template/index-four.html)
09:14:40	22884/22884	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Oct%202022%2009:28:04%20GMT	https://doccure.dreamguystech.com/html/template/chat-doctor.html	doccure.dreamguystech.com/html/template/chat-doctor.html	(from https://doccure.dreamguystech.com/html/template/index-four.html)
09:14:41	19713/19713	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Oct%202022%2009:28:04%20GMT	https://doccure.dreamguystech.com/html/template/invoices.html	doccure.dreamguystech.com/html/template/invoices.html	(from https://doccure.dreamguystech.com/html/template/index-four.html)
09:14:42	22746/22746	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Oct%202022%2009:28:04%20GMT	https://doccure.dreamguystech.com/html/template/doctor-profile-settings.html	doccure.dreamguystech.com/html/template/doctor-profile-settings.html	(from https://doccure.dreamguystech.com/html/template/index-four.html)
